i,box_h,pred,conf,illegible,face_px_det,face_px_geo,anchor,face,face_usable
162,111.0,20,0.7936,False,0.0,12.333333333333332,True,False,False
163,115.0,20,0.6681,False,15.333333333333334,12.777777777777777,False,True,False
164,100.0,14,0.5202,False,0.0,11.11111111111111,False,False,False
165,107.0,20,0.4055,False,0.0,11.888888888888888,False,False,False
166,123.0,11,0.2668,False,0.0,13.666666666666666,False,False,False
167,128.0,36,0.3716,False,0.0,14.222222222222221,False,False,False
168,129.0,11,0.1792,False,0.0,14.333333333333332,False,False,False
169,122.0,36,0.3913,False,0.0,13.555555555555555,False,False,False
170,112.0,20,0.2043,False,0.0,12.444444444444443,False,False,False
171,105.0,20,0.798,False,0.0,11.666666666666666,True,False,False
172,104.0,10,0.3914,False,0.0,11.555555555555555,False,False,False
173,107.0,25,0.1005,False,0.0,11.888888888888888,False,False,False
174,102.0,-1,0.1974,True,0.0,11.333333333333332,False,False,False
175,121.0,11,0.3327,False,0.0,13.444444444444443,False,False,False
176,101.0,20,0.4348,False,0.0,11.222222222222221,False,False,False
177,110.0,20,0.6111,False,0.0,12.222222222222221,False,False,False
178,110.0,14,0.821,False,0.0,12.222222222222221,True,False,False
179,106.0,11,0.6064,False,0.0,11.777777777777777,False,False,False
180,108.0,20,0.0926,False,0.0,12.0,False,False,False
181,105.0,20,0.1694,False,0.0,11.666666666666666,False,False,False
182,104.0,10,0.3091,False,0.0,11.555555555555555,False,False,False
183,109.0,-1,0.1584,True,0.0,12.11111111111111,False,False,False
184,105.0,20,0.6956,False,0.0,11.666666666666666,False,False,False
185,114.0,33,0.227,False,0.0,12.666666666666666,False,False,False
186,110.0,20,0.7992,False,0.0,12.222222222222221,True,False,False
187,105.0,30,0.2342,False,0.0,11.666666666666666,False,False,False
188,101.0,-1,0.2171,True,0.0,11.222222222222221,False,False,False
189,111.0,20,0.7749,False,0.0,12.333333333333332,True,False,False
190,105.0,20,0.5654,False,0.0,11.666666666666666,False,False,False
191,108.0,20,0.2948,False,0.0,12.0,False,False,False
192,106.0,23,0.1297,False,0.0,11.777777777777777,False,False,False
193,110.0,10,0.2901,False,0.0,12.222222222222221,False,False,False
194,112.0,20,0.4785,False,0.0,12.444444444444443,False,False,False
195,115.0,20,0.5942,False,0.0,12.777777777777777,False,False,False
196,107.0,11,0.4517,False,0.0,11.888888888888888,False,False,False
197,106.0,30,0.2012,False,0.0,11.777777777777777,False,False,False
198,103.0,20,0.5871,False,0.0,11.444444444444445,False,False,False
199,116.0,20,0.6727,False,0.0,12.888888888888888,False,False,False
200,120.0,20,0.4349,False,0.0,13.333333333333332,False,False,False
201,118.0,11,0.1208,False,0.0,13.11111111111111,False,False,False
202,129.0,20,0.9144,False,0.0,14.333333333333332,True,False,False
203,103.0,20,0.4333,False,0.0,11.444444444444445,False,False,False
204,123.0,24,0.2296,False,0.0,13.666666666666666,False,False,False
205,120.0,11,0.6031,False,0.0,13.333333333333332,False,False,False
206,120.0,11,0.4313,False,0.0,13.333333333333332,False,False,False
207,123.0,20,0.2094,False,0.0,13.666666666666666,False,False,False
208,124.0,20,0.8149,False,0.0,13.777777777777777,True,False,False
209,122.0,11,0.2772,False,0.0,13.555555555555555,False,False,False
210,128.0,20,0.8124,False,0.0,14.222222222222221,True,False,False
211,100.0,23,0.2098,False,0.0,11.11111111111111,False,False,False
212,118.0,11,0.4474,False,0.0,13.11111111111111,False,False,False
213,126.0,20,0.9023,False,0.0,14.0,True,False,False
214,101.0,20,0.7279,False,0.0,11.222222222222221,True,False,False
215,114.0,23,0.3715,False,0.0,12.666666666666666,False,False,False
216,120.0,36,0.3885,False,0.0,13.333333333333332,False,False,False
217,120.0,20,0.4724,False,0.0,13.333333333333332,False,False,False
